"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NMF";564.367;0.0303;0.0079;0.0139;0.035;"Full";9
"NNLM";205.466;0.0286;0.0075;0.0109;0.0258;"Full";9
"AIRWLS";221.824;0.0284;0.0075;0.0114;0.5987;"Full";9
"Newton";106.559;0.0284;0.0075;0.0121;0.5974;"Full";9
"C-SGD";58.474;0.028;0.0074;0.0112;0.5687;"Full";9
"B-SGD";33.643;0.0277;0.0073;0.0116;0.477;"Full";9
"glmPCA";593.156;0.0328;0.1465;0.0201;-0.0212;"Train";9
"NBWaVE";251.796;0.0272;0.1453;0.0127;0.5543;"Train";9
"CMF";460.749;0.0291;0.1457;0.0097;0.0581;"Train";9
"NMF";564.367;0.0301;0.146;0.0115;0.035;"Train";9
"NNLM";205.466;0.0284;0.1455;0.0096;0.0258;"Train";9
"AIRWLS";221.824;0.0282;0.1454;0.009;0.5987;"Train";9
"Newton";106.559;0.0282;0.1455;0.009;0.5974;"Train";9
"C-SGD";58.474;0.0273;0.1453;0.0103;0.5687;"Train";9
"B-SGD";33.643;0.0264;0.1452;0.0109;0.477;"Train";9
"glmPCA";593.156;0.0329;0.4955;0.0207;-0.0212;"Test";9
"NBWaVE";251.796;0.0308;0.4952;0.0143;0.5543;"Test";9
"CMF";460.749;0.0301;0.4953;0.0285;0.0581;"Test";9
"NMF";564.367;0.0308;0.4951;0.0207;0.035;"Test";9
"NNLM";205.466;0.0291;0.4952;0.0144;0.0258;"Test";9
"AIRWLS";221.824;0.0291;0.4952;0.0184;0.5987;"Test";9
"Newton";106.559;0.0292;0.4951;0.021;0.5974;"Test";9
"C-SGD";58.474;0.03;0.4952;0.0138;0.5687;"Test";9
"B-SGD";33.643;0.0316;0.4953;0.0135;0.477;"Test";9
"glmPCA";598.697;0.0368;0.008;0.0225;-0.0177;"Full";10
"NBWaVE";260.966;0.0309;0.0067;0.0136;0.5134;"Full";10
"CMF";476.558;0.0324;0.0071;0.0152;0.2306;"Full";10
"NMF";564.134;0.0333;0.0073;0.0145;0.1336;"Full";10
"NNLM";203.538;0.0315;0.0069;0.0112;0.0906;"Full";10
"AIRWLS";223.702;0.0312;0.0069;0.0117;0.568;"Full";10
"Newton";101.844;0.0312;0.0068;0.0124;0.5459;"Full";10
"C-SGD";59.259;0.0308;0.0068;0.0114;0.5125;"Full";10
"B-SGD";33.108;0.0307;0.0067;0.0117;0.4229;"Full";10
"glmPCA";598.697;0.0368;0.1463;0.0223;-0.0177;"Train";10
"NBWaVE";260.966;0.03;0.1451;0.0132;0.5134;"Train";10
"CMF";476.558;0.0322;0.1454;0.01;0.2306;"Train";10
"NMF";564.134;0.0332;0.1457;0.0116;0.1336;"Train";10
"NNLM";203.538;0.0314;0.1452;0.0099;0.0906;"Train";10
"AIRWLS";223.702;0.031;0.1452;0.0092;0.568;"Train";10
"Newton";101.844;0.0309;0.1452;0.0093;0.5459;"Train";10
"C-SGD";59.259;0.0301;0.1451;0.0105;0.5125;"Train";10
"B-SGD";33.108;0.0291;0.145;0.0111;0.4229;"Train";10
"glmPCA";598.697;0.0367;0.4948;0.023;-0.0177;"Test";10
"NBWaVE";260.966;0.0337;0.4944;0.0145;0.5134;"Test";10
"CMF";476.558;0.033;0.4945;0.0298;0.2306;"Test";10
"NMF";564.134;0.0337;0.4943;0.0226;0.1336;"Test";10
"NNLM";203.538;0.0319;0.4944;0.0147;0.0906;"Test";10
"AIRWLS";223.702;0.0318;0.4943;0.0186;0.568;"Test";10
"Newton";101.844;0.032;0.4943;0.0212;0.5459;"Test";10
"C-SGD";59.259;0.0327;0.4944;0.0138;0.5125;"Test";10
"B-SGD";33.108;0.0353;0.4945;0.0133;0.4229;"Test";10
"glmPCA";858.598;0.0375;0.0084;0.0185;-0.0189;"Full";11
"NBWaVE";266.714;0.0318;0.0071;0.0128;0.5241;"Full";11
"CMF";471.819;0.0338;0.0076;0.0149;0.0841;"Full";11
"NMF";NA;NA;NA;NA;NA;"Full";11
"NNLM";187.989;0.0323;0.0073;0.0107;0.1084;"Full";11
"AIRWLS";222.982;0.0321;0.0072;0.0112;0.5625;"Full";11
"Newton";108.298;0.0321;0.0072;0.0121;0.5575;"Full";11
"C-SGD";58.797;0.0316;0.0071;0.011;0.5553;"Full";11
"B-SGD";33.26;0.0314;0.0071;0.0112;0.5299;"Full";11
"glmPCA";858.598;0.0375;0.1463;0.0184;-0.0189;"Train";11
"NBWaVE";266.714;0.0308;0.145;0.0125;0.5241;"Train";11
"CMF";471.819;0.0336;0.1455;0.0098;0.0841;"Train";11
"NMF";NA;NA;NA;NA;NA;"Train";11
"NNLM";187.989;0.0321;0.1452;0.0095;0.1084;"Train";11
"AIRWLS";222.982;0.0318;0.1452;0.0088;0.5625;"Train";11
"Newton";108.298;0.0318;0.1452;0.0088;0.5575;"Train";11
"C-SGD";58.797;0.0309;0.1451;0.0101;0.5553;"Train";11
"B-SGD";33.26;0.0299;0.1449;0.0105;0.5299;"Train";11
"glmPCA";858.598;0.0376;0.4955;0.019;-0.0189;"Test";11
"NBWaVE";266.714;0.0349;0.4951;0.0137;0.5241;"Test";11
"CMF";471.819;0.0347;0.4952;0.0297;0.0841;"Test";11
"NMF";NA;NA;NA;NA;NA;"Test";11
