"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"C-SGD";66.381;0.0424;0.1503;0.0172;0.4305;"Train";6
"B-SGD";42.994;0.0417;0.1501;0.0172;0.4406;"Train";6
"glmPCA";1203.699;0.0476;0.4983;0.0251;-0.0188;"Test";6
"NBWaVE";203.296;0.044;0.4977;0.0189;0.4514;"Test";6
"CMF";348.352;0.0439;0.4978;0.0196;0.0456;"Test";6
"NMF";NA;NA;NA;NA;NA;"Test";6
"NNLM";275.723;0.0435;0.4977;0.0185;-0.0137;"Test";6
"AIRWLS";238.924;0.0428;0.4976;0.0184;0.5036;"Test";6
"Newton";163.744;0.0428;0.4976;0.0186;0.4533;"Test";6
"C-SGD";66.381;0.0429;0.4976;0.0179;0.4305;"Test";6
"B-SGD";42.994;0.0424;0.4976;0.0178;0.4406;"Test";6
"glmPCA";1214.658;0.0512;0.0134;0.0293;-0.0286;"Full";7
"NBWaVE";209.694;0.0465;0.0122;0.0206;0.4742;"Full";7
"CMF";345.358;0.0466;0.0123;0.0207;-0.0018;"Full";7
"NMF";NA;NA;NA;NA;NA;"Full";7
"NNLM";274.665;0.0462;0.0121;0.02;0.0039;"Full";7
"AIRWLS";172.603;0.0453;0.0119;0.0186;0.4802;"Full";7
"Newton";150.824;0.0452;0.0119;0.0186;0.4816;"Full";7
"C-SGD";65.977;0.0451;0.0119;0.0191;0.4525;"Full";7
"B-SGD";42.358;0.0445;0.0118;0.0191;0.4771;"Full";7
"glmPCA";1214.658;0.0512;0.1508;0.0292;-0.0286;"Train";7
"NBWaVE";209.694;0.0463;0.1498;0.0204;0.4742;"Train";7
"CMF";345.358;0.0466;0.1498;0.0201;-0.0018;"Train";7
"NMF";NA;NA;NA;NA;NA;"Train";7
"NNLM";274.665;0.0461;0.1497;0.0197;0.0039;"Train";7
"AIRWLS";172.603;0.0452;0.1496;0.0182;0.4802;"Train";7
"Newton";150.824;0.0451;0.1495;0.0182;0.4816;"Train";7
"C-SGD";65.977;0.045;0.1495;0.0189;0.4525;"Train";7
"B-SGD";42.358;0.0443;0.1494;0.0189;0.4771;"Train";7
"glmPCA";1214.658;0.0513;0.4977;0.0296;-0.0286;"Test";7
