"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NMF";370.177;0.0335;0.1454;0.0141;0.067;"Train";8
"NNLM";135.911;0.0315;0.1449;0.012;-0.0031;"Train";8
"AIRWLS";162.089;0.0312;0.1449;0.0113;0.5184;"Train";8
"Newton";90.92;0.0312;0.1449;0.0113;0.5402;"Train";8
"C-SGD";51.007;0.0305;0.1448;0.0123;0.5076;"Train";8
"B-SGD";27.708;0.0297;0.1447;0.0128;0.4299;"Train";8
"glmPCA";505.656;0.0372;0.4955;0.0219;-0.0332;"Test";8
"NBWaVE";159.549;0.0337;0.495;0.0155;0.5519;"Test";8
"CMF";267.433;0.0333;0.4951;0.022;0.0816;"Test";8
"NMF";370.177;0.0342;0.495;0.0194;0.067;"Test";8
"NNLM";135.911;0.0323;0.495;0.015;-0.0031;"Test";8
"AIRWLS";162.089;0.0321;0.4949;0.0176;0.5184;"Test";8
"Newton";90.92;0.0321;0.4949;0.0193;0.5402;"Test";8
"C-SGD";51.007;0.0324;0.495;0.0146;0.5076;"Test";8
"B-SGD";27.708;0.0337;0.4951;0.0143;0.4299;"Test";8
"glmPCA";508.254;0.0366;0.0083;0.0212;-0.0351;"Full";9
"NBWaVE";160.352;0.0316;0.0071;0.0131;0.5818;"Full";9
"CMF";250.998;0.0327;0.0074;0.0134;0.1816;"Full";9
"NMF";NA;NA;NA;NA;NA;"Full";9
"NNLM";136.729;0.0317;0.0072;0.011;0.0512;"Full";9
"AIRWLS";170.816;0.0315;0.0072;0.0113;0.5649;"Full";9
"Newton";87.216;0.0315;0.0072;0.0116;0.5589;"Full";9
"C-SGD";51.139;0.0309;0.007;0.0113;0.5472;"Full";9
"B-SGD";27.176;0.0307;0.007;0.0115;0.5149;"Full";9
"glmPCA";508.254;0.0365;0.1464;0.021;-0.0351;"Train";9
"NBWaVE";160.352;0.0308;0.1453;0.0128;0.5818;"Train";9
"CMF";250.998;0.0325;0.1456;0.0105;0.1816;"Train";9
"NMF";NA;NA;NA;NA;NA;"Train";9
"NNLM";136.729;0.0315;0.1454;0.0102;0.0512;"Train";9
"AIRWLS";170.816;0.0312;0.1454;0.0094;0.5649;"Train";9
"Newton";87.216;0.0312;0.1454;0.0095;0.5589;"Train";9
"C-SGD";51.139;0.0303;0.1452;0.0108;0.5472;"Train";9
"B-SGD";27.176;0.0297;0.1451;0.011;0.5149;"Train";9
"glmPCA";508.254;0.0369;0.4951;0.0216;-0.0351;"Test";9
"NBWaVE";160.352;0.0336;0.4947;0.0139;0.5818;"Test";9
"CMF";250.998;0.0333;0.4948;0.0219;0.1816;"Test";9
"NMF";NA;NA;NA;NA;NA;"Test";9
"NNLM";136.729;0.0323;0.4947;0.0135;0.0512;"Test";9
"AIRWLS";170.816;0.0322;0.4946;0.0167;0.5649;"Test";9
"Newton";87.216;0.0322;0.4946;0.0176;0.5589;"Test";9
"C-SGD";51.139;0.0327;0.4947;0.0129;0.5472;"Test";9
"B-SGD";27.176;0.0335;0.4947;0.0128;0.5149;"Test";9
"glmPCA";517.397;0.0369;0.0078;0.0214;-0.0252;"Full";10
"NBWaVE";146.03;0.0318;0.0067;0.0144;0.5472;"Full";10
"CMF";258.529;0.0333;0.0071;Inf;0.2022;"Full";10
"NMF";368.66;0.0339;0.0072;0.0152;0.0679;"Full";10
"NNLM";136.062;0.0321;0.0068;0.0125;0.1464;"Full";10
"AIRWLS";167.346;0.0318;0.0068;0.0128;0.5406;"Full";10
"Newton";88.363;0.0318;0.0068;0.0131;0.5161;"Full";10
"C-SGD";51.108;0.0314;0.0067;0.0127;0.5035;"Full";10
