"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NMF";NA;NA;NA;NA;NA;"Full";11
"NNLM";151.443;0.0406;0.0104;0.0151;0.0179;"Full";11
"AIRWLS";120.789;0.04;0.0103;0.0144;0.4746;"Full";11
"Newton";102.683;0.04;0.0103;0.0145;0.4458;"Full";11
"C-SGD";43.816;0.0398;0.0102;0.0149;0.4301;"Full";11
"B-SGD";26.666;0.0394;0.0101;0.0149;0.4133;"Full";11
"glmPCA";621.792;0.0455;0.1492;0.0229;-0.0108;"Train";11
"NBWaVE";113.365;0.0408;0.1483;0.0161;0.4919;"Train";11
"CMF";207.034;0.041;0.1483;0.0152;0.0772;"Train";11
"NMF";NA;NA;NA;NA;NA;"Train";11
"NNLM";151.443;0.0405;0.1482;0.0148;0.0179;"Train";11
"AIRWLS";120.789;0.0399;0.1481;0.0139;0.4746;"Train";11
"Newton";102.683;0.0398;0.1481;0.0139;0.4458;"Train";11
"C-SGD";43.816;0.0395;0.148;0.0146;0.4301;"Train";11
"B-SGD";26.666;0.039;0.1479;0.0147;0.4133;"Train";11
"glmPCA";621.792;0.0457;0.4969;0.0233;-0.0108;"Test";11
"NBWaVE";113.365;0.0417;0.4963;0.0167;0.4919;"Test";11
"CMF";207.034;0.0414;0.4964;0.0177;0.0772;"Test";11
"NMF";NA;NA;NA;NA;NA;"Test";11
"NNLM";151.443;0.0409;0.4963;0.016;0.0179;"Test";11
"AIRWLS";120.789;0.0403;0.4962;0.016;0.4746;"Test";11
"Newton";102.683;0.0403;0.4962;0.0164;0.4458;"Test";11
"C-SGD";43.816;0.0404;0.4962;0.0156;0.4301;"Test";11
"B-SGD";26.666;0.0402;0.4962;0.0156;0.4133;"Test";11
"glmPCA";650.984;0.042;0.0116;0.0213;-0.0129;"Full";12
"NBWaVE";115.908;0.0378;0.0104;0.0156;0.5146;"Full";12
"CMF";209.73;0.0379;0.0105;Inf;0.0046;"Full";12
"NMF";275.921;0.0391;0.0108;0.0166;-0.0046;"Full";12
"NNLM";151.781;0.0375;0.0104;0.0148;0.0128;"Full";12
"AIRWLS";154.241;0.0367;0.0102;0.0139;0.499;"Full";12
"Newton";104.24;0.0367;0.0102;0.0139;0.4645;"Full";12
"C-SGD";44.434;0.0366;0.0102;0.0143;0.4626;"Full";12
"B-SGD";27.357;0.0362;0.0101;0.0144;0.4229;"Full";12
"glmPCA";650.984;0.042;0.149;0.0212;-0.0129;"Train";12
"NBWaVE";115.908;0.0376;0.148;0.0155;0.5146;"Train";12
"CMF";209.73;0.0379;0.1481;Inf;0.0046;"Train";12
"NMF";275.921;0.0391;0.1484;0.0162;-0.0046;"Train";12
"NNLM";151.781;0.0374;0.148;0.0145;0.0128;"Train";12
"AIRWLS";154.241;0.0367;0.1479;0.0134;0.499;"Train";12
"Newton";104.24;0.0366;0.1479;0.0134;0.4645;"Train";12
"C-SGD";44.434;0.0364;0.1478;0.014;0.4626;"Train";12
"B-SGD";27.357;0.0359;0.1477;0.0142;0.4229;"Train";12
"glmPCA";650.984;0.0421;0.4972;0.0217;-0.0129;"Test";12
"NBWaVE";115.908;0.0383;0.4966;0.016;0.5146;"Test";12
"CMF";209.73;0.0381;0.4966;Inf;0.0046;"Test";12
"NMF";275.921;0.0393;0.4967;0.0179;-0.0046;"Test";12
"NNLM";151.781;0.0377;0.4966;0.0158;0.0128;"Test";12
