"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"AIRWLS";167.497;0.0315;0.0058;0.0136;0.5296;"Full";7
"Newton";91.366;0.0315;0.0058;0.0141;0.5382;"Full";7
"C-SGD";51.666;0.0311;0.0057;0.0135;0.4748;"Full";7
"B-SGD";27.499;0.0309;0.0057;0.0136;0.4056;"Full";7
"glmPCA";528.105;0.0375;0.1453;0.023;-0.0225;"Train";7
"NBWaVE";199.608;0.0312;0.1443;0.0152;0.5663;"Train";7
"CMF";249.199;0.033;0.1445;0.013;0.0549;"Train";7
"NMF";370.809;0.0339;0.1448;0.0146;0.0559;"Train";7
"NNLM";152.899;0.0317;0.1444;0.0124;0.0311;"Train";7
"AIRWLS";167.497;0.0314;0.1444;0.0116;0.5296;"Train";7
"Newton";91.366;0.0314;0.1444;0.0116;0.5382;"Train";7
"C-SGD";51.666;0.0307;0.1442;0.0129;0.4748;"Train";7
"B-SGD";27.499;0.0299;0.1442;0.0133;0.4056;"Train";7
"glmPCA";528.105;0.0373;0.4942;0.0234;-0.0225;"Test";7
"NBWaVE";199.608;0.0336;0.4938;0.0161;0.5663;"Test";7
"CMF";249.199;0.0335;0.494;0.0288;0.0549;"Test";7
"NMF";370.809;0.0342;0.4938;0.0209;0.0559;"Test";7
"NNLM";152.899;0.032;0.4938;0.0156;0.0311;"Test";7
"AIRWLS";167.497;0.0319;0.4937;0.0193;0.5296;"Test";7
"Newton";91.366;0.0319;0.4937;0.0212;0.5382;"Test";7
"C-SGD";51.666;0.0324;0.4938;0.0152;0.4748;"Test";7
"B-SGD";27.499;0.0337;0.4938;0.0148;0.4056;"Test";7
"glmPCA";508.869;0.0377;0.0087;0.0217;-0.0193;"Full";8
"NBWaVE";144.073;0.0325;0.0075;0.0135;0.5239;"Full";8
"CMF";262.407;0.0334;0.0078;0.0142;0.2131;"Full";8
"NMF";368.849;0.0344;0.008;0.0142;0.0337;"Full";8
"NNLM";133.741;0.0325;0.0076;0.0113;0.0366;"Full";8
"AIRWLS";171.868;0.0323;0.0075;0.0116;0.5649;"Full";8
"Newton";93.503;0.0323;0.0075;0.0119;0.5751;"Full";8
"C-SGD";51.359;0.0318;0.0074;0.0116;0.5549;"Full";8
"B-SGD";27.085;0.0314;0.0073;0.0119;0.4996;"Full";8
"glmPCA";508.869;0.0376;0.1467;0.0215;-0.0193;"Train";8
"NBWaVE";144.073;0.0318;0.1456;0.0131;0.5239;"Train";8
"CMF";262.407;0.0332;0.1458;0.0106;0.2131;"Train";8
"NMF";368.849;0.0343;0.1461;0.0123;0.0337;"Train";8
"NNLM";133.741;0.0324;0.1456;0.0104;0.0366;"Train";8
"AIRWLS";171.868;0.0321;0.1456;0.0097;0.5649;"Train";8
"Newton";93.503;0.0321;0.1456;0.0097;0.5751;"Train";8
"C-SGD";51.359;0.0313;0.1455;0.011;0.5549;"Train";8
"B-SGD";27.085;0.0305;0.1453;0.0114;0.4996;"Train";8
"glmPCA";508.869;0.0378;0.4955;0.0224;-0.0193;"Test";8
"NBWaVE";144.073;0.0345;0.495;0.0146;0.5239;"Test";8
"CMF";262.407;0.034;0.4951;0.0246;0.2131;"Test";8
"NMF";368.849;0.0348;0.495;0.0197;0.0337;"Test";8
"NNLM";133.741;0.0329;0.495;0.014;0.0366;"Test";8
"AIRWLS";171.868;0.0328;0.495;0.0171;0.5649;"Test";8
"Newton";93.503;0.0328;0.495;0.0183;0.5751;"Test";8
"C-SGD";51.359;0.0332;0.495;0.0133;0.5549;"Test";8
"B-SGD";27.085;0.034;0.4951;0.0133;0.4996;"Test";8
"glmPCA";511.743;0.0361;0.0078;0.0217;-0.0197;"Full";9
"NBWaVE";186.161;0.0311;0.0068;0.0141;0.5495;"Full";9
"CMF";244.353;0.0321;0.007;Inf;0.1731;"Full";9
"NMF";368.166;0.033;0.0072;0.0148;0.062;"Full";9
"NNLM";134.125;0.0311;0.0068;0.012;0.0206;"Full";9
"AIRWLS";169.34;0.0309;0.0067;0.0123;0.5189;"Full";9
"Newton";96.45;0.0309;0.0067;0.0126;0.4999;"Full";9
"C-SGD";50.874;0.0304;0.0067;0.0122;0.4844;"Full";9
"B-SGD";27.674;0.0301;0.0066;0.0124;0.4254;"Full";9
"glmPCA";511.743;0.036;0.1457;0.0215;-0.0197;"Train";9
"NBWaVE";186.161;0.0304;0.1447;0.0138;0.5495;"Train";9
"CMF";244.353;0.0319;0.145;0.0115;0.1731;"Train";9
"NMF";368.166;0.0328;0.1453;0.0131;0.062;"Train";9
"NNLM";134.125;0.031;0.1448;0.0111;0.0206;"Train";9
"AIRWLS";169.34;0.0307;0.1448;0.0104;0.5189;"Train";9
"Newton";96.45;0.0307;0.1448;0.0104;0.4999;"Train";9
"C-SGD";50.874;0.0299;0.1446;0.0116;0.4844;"Train";9
"B-SGD";27.674;0.0291;0.1445;0.012;0.4254;"Train";9
"glmPCA";511.743;0.0363;0.4954;0.0222;-0.0197;"Test";9
"NBWaVE";186.161;0.033;0.4949;0.0149;0.5495;"Test";9
"CMF";244.353;0.0327;0.4951;Inf;0.1731;"Test";9
"NMF";368.166;0.0335;0.4949;0.0198;0.062;"Test";9
"NNLM";134.125;0.0316;0.4949;0.0146;0.0206;"Test";9
"AIRWLS";169.34;0.0314;0.4949;0.0179;0.5189;"Test";9
"Newton";96.45;0.0315;0.4949;0.0193;0.4999;"Test";9
"C-SGD";50.874;0.0319;0.4949;0.014;0.4844;"Test";9
"B-SGD";27.674;0.0328;0.495;0.0136;0.4254;"Test";9
"glmPCA";514.856;0.0357;0.0076;0.0204;-0.0247;"Full";10
"NBWaVE";155.645;0.0306;0.0065;0.014;0.537;"Full";10
"CMF";255.107;0.0322;0.0069;0.0151;0.1111;"Full";10
"NMF";369.706;0.033;0.007;0.015;0.0156;"Full";10
"NNLM";133.942;0.0307;0.0066;0.0119;0.1188;"Full";10
"AIRWLS";165.032;0.0305;0.0065;0.0123;0.5268;"Full";10
"Newton";90.413;0.0305;0.0065;0.0129;0.5441;"Full";10
"C-SGD";51.569;0.03;0.0064;0.0122;0.5383;"Full";10
"B-SGD";27.679;0.0298;0.0064;0.0123;0.4849;"Full";10
"glmPCA";514.856;0.0357;0.1459;0.0202;-0.0247;"Train";10
"NBWaVE";155.645;0.0299;0.1449;0.0138;0.537;"Train";10
"CMF";255.107;0.032;0.1452;0.0116;0.1111;"Train";10
"NMF";369.706;0.0328;0.1455;0.0133;0.0156;"Train";10
"NNLM";133.942;0.0306;0.145;0.0111;0.1188;"Train";10
"AIRWLS";165.032;0.0303;0.1449;0.0103;0.5268;"Train";10
"Newton";90.413;0.0303;0.1449;0.0103;0.5441;"Train";10
"C-SGD";51.569;0.0295;0.1448;0.0117;0.5383;"Train";10
"B-SGD";27.679;0.0289;0.1447;0.0118;0.4849;"Train";10
"glmPCA";514.856;0.0359;0.4947;0.0209;-0.0247;"Test";10
"NBWaVE";155.645;0.0326;0.4943;0.0148;0.537;"Test";10
"CMF";255.107;0.0328;0.4944;0.0252;0.1111;"Test";10
"NMF";369.706;0.0334;0.4943;0.0197;0.0156;"Test";10
"NNLM";133.942;0.0312;0.4943;0.0143;0.1188;"Test";10
"AIRWLS";165.032;0.0311;0.4942;0.0179;0.5268;"Test";10
"Newton";90.413;0.0311;0.4942;0.0204;0.5441;"Test";10
"C-SGD";51.569;0.0315;0.4942;0.0138;0.5383;"Test";10
"B-SGD";27.679;0.0325;0.4943;0.0136;0.4849;"Test";10
"glmPCA";504.004;0.0352;0.0082;0.0196;-0.0306;"Full";11
"NBWaVE";236.106;0.0303;0.0071;0.0131;0.4949;"Full";11
"CMF";261.598;0.0314;0.0074;0.0139;0.1636;"Full";11
"NMF";NA;NA;NA;NA;NA;"Full";11
"NNLM";146.472;0.0303;0.0071;0.0109;-0.0051;"Full";11
"AIRWLS";168.436;0.0301;0.0071;0.0112;0.463;"Full";11
"Newton";91.453;0.0301;0.0071;0.0115;0.4332;"Full";11
"C-SGD";51.627;0.0296;0.007;0.0112;0.4488;"Full";11
"B-SGD";27.46;0.0294;0.0069;0.0114;0.3832;"Full";11
"glmPCA";504.004;0.0352;0.1463;0.0194;-0.0306;"Train";11
"NBWaVE";236.106;0.0297;0.1453;0.0128;0.4949;"Train";11
"CMF";261.598;0.0312;0.1455;0.0105;0.1636;"Train";11
