"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"CMF";210.806;0.0414;0.0095;0.018;0.018;"Full";13
"NMF";276.899;0.0419;0.0096;0.018;-0.0402;"Full";13
"NNLM";153.227;0.0402;0.0092;0.0161;0.024;"Full";13
"AIRWLS";103.323;0.0392;0.009;0.0149;0.4597;"Full";13
"Newton";62.093;0.0392;0.009;0.015;0.4745;"Full";13
"C-SGD";43.495;0.0389;0.0089;0.0154;0.4519;"Full";13
"B-SGD";27.202;0.0387;0.0089;0.0156;0.4441;"Full";13
"glmPCA";660.602;0.045;0.1479;0.0232;-0.0172;"Train";13
"NBWaVE";120.212;0.04;0.147;0.0166;0.4932;"Train";13
"CMF";210.806;0.0412;0.1472;0.0166;0.018;"Train";13
"NMF";276.899;0.0418;0.1474;0.0175;-0.0402;"Train";13
"NNLM";153.227;0.0401;0.147;0.0157;0.024;"Train";13
"AIRWLS";103.323;0.0391;0.1468;0.0144;0.4597;"Train";13
"Newton";62.093;0.039;0.1468;0.0144;0.4745;"Train";13
"C-SGD";43.495;0.0387;0.1468;0.0151;0.4519;"Train";13
"B-SGD";27.202;0.0383;0.1467;0.0154;0.4441;"Train";13
"glmPCA";660.602;0.0454;0.4965;0.0239;-0.0172;"Test";13
"NBWaVE";120.212;0.041;0.4959;0.0173;0.4932;"Test";13
"CMF";210.806;0.0417;0.4961;0.0223;0.018;"Test";13
"NMF";276.899;0.0423;0.496;0.0197;-0.0402;"Test";13
"NNLM";153.227;0.0406;0.4959;0.0171;0.024;"Test";13
"AIRWLS";103.323;0.0397;0.4958;0.0165;0.4597;"Test";13
"Newton";62.093;0.0396;0.4958;0.0167;0.4745;"Test";13
"C-SGD";43.495;0.0396;0.4958;0.0162;0.4519;"Test";13
"B-SGD";27.202;0.0396;0.4958;0.0162;0.4441;"Test";13
"glmPCA";710.289;0.0478;0.0102;0.0265;-0.0223;"Full";14
"NBWaVE";120.528;0.0424;0.009;0.0178;0.4455;"Full";14
"CMF";215.926;0.0429;0.0092;0.0179;0.1802;"Full";14
"NMF";276.575;0.0439;0.0094;0.0191;-0.0108;"Full";14
"NNLM";152.669;0.042;0.009;0.0168;-0.0112;"Full";14
"AIRWLS";156.207;0.0412;0.0088;0.0159;0.4299;"Full";14
"Newton";98.647;0.0412;0.0088;0.0161;0.3729;"Full";14
"C-SGD";44.513;0.0409;0.0088;0.0163;0.3374;"Full";14
"B-SGD";27.102;0.0406;0.0087;0.0163;0.3415;"Full";14
"glmPCA";710.289;0.0478;0.1479;0.0263;-0.0223;"Train";14
"NBWaVE";120.528;0.0422;0.147;0.0176;0.4455;"Train";14
"CMF";215.926;0.0428;0.1471;0.0172;0.1802;"Train";14
"NMF";276.575;0.0438;0.1473;0.0186;-0.0108;"Train";14
